#x,T,xh2o,xco2,S_LBL,S_SLW,S_SLW1,q_LBL,q_SLW,q_SLW1
#[m],[K],[],[],[kW/m3],[kW/m2]
    0.815000000000000E+000,    0.502787426261771E+003,    0.101393713130886E+000,    0.675958087539238E-001,    0.000000000000000E+000,    0.256178821834274E+001,    0.105744158030707E+001,    0.000000000000000E+000,   -0.313311393180197E+002,   -0.255144919945411E+002
    0.825000000000000E+000,    0.505165585500945E+003,    0.102582792750472E+000,    0.683885285003150E-001,    0.000000000000000E+000,    0.258357722547402E+001,    0.105482159869123E+001,    0.000000000000000E+000,   -0.313562869406450E+002,   -0.255242700976571E+002
    0.835000000000000E+000,    0.507565110529253E+003,    0.103782555264626E+000,    0.691883701764176E-001,    0.000000000000000E+000,    0.260568488045248E+001,    0.105246699710931E+001,    0.000000000000000E+000,   -0.313816621550320E+002,   -0.255340149520172E+002
    0.845000000000000E+000,    0.509985738211735E+003,    0.104992869105867E+000,    0.699952460705783E-001,    0.000000000000000E+000,    0.263053183257754E+001,    0.105028342884998E+001,    0.000000000000000E+000,   -0.314072538325948E+002,   -0.255437281899996E+002
    0.855000000000000E+000,    0.512427203099288E+003,    0.106213601549644E+000,    0.708090676997628E-001,    0.000000000000000E+000,    0.265449676929615E+001,    0.104819527479498E+001,    0.000000000000000E+000,   -0.314330857295346E+002,   -0.255534112124535E+002
    0.865000000000000E+000,    0.514889237457775E+003,    0.107444618728888E+000,    0.716297458192585E-001,    0.000000000000000E+000,    0.268059403467074E+001,    0.104615438164065E+001,    0.000000000000000E+000,   -0.314591449776450E+002,   -0.255630644770730E+002
    0.875000000000000E+000,    0.517371571297384E+003,    0.108685785648692E+000,    0.724571904324613E-001,    0.000000000000000E+000,    0.270118238698775E+001,    0.104414210777535E+001,    0.000000000000000E+000,   -0.314854427438223E+002,   -0.255726876970443E+002
    0.885000000000000E+000,    0.519873932402235E+003,    0.109936966201117E+000,    0.732913108007449E-001,    0.000000000000000E+000,    0.272263942543470E+001,    0.104210797828503E+001,    0.000000000000000E+000,   -0.315119405245084E+002,   -0.255822816713512E+002
    0.895000000000000E+000,    0.522396046360234E+003,    0.111198023180117E+000,    0.741320154534114E-001,    0.000000000000000E+000,    0.274625859878537E+001,    0.104003966219747E+001,    0.000000000000000E+000,   -0.315386568802209E+002,   -0.255918455369178E+002
    0.905000000000000E+000,    0.524937636593165E+003,    0.112468818296582E+000,    0.749792121977216E-001,    0.000000000000000E+000,    0.276951744015779E+001,    0.103790561039002E+001,    0.000000000000000E+000,   -0.315655995624776E+002,   -0.256013791876830E+002
    0.915000000000000E+000,    0.527498424387016E+003,    0.113749212193508E+000,    0.758328081290055E-001,    0.000000000000000E+000,    0.279214146734325E+001,    0.103571980604756E+001,    0.000000000000000E+000,   -0.315927600945213E+002,   -0.256108809696562E+002
    0.925000000000000E+000,    0.530078128922550E+003,    0.115039064461275E+000,    0.766927096408501E-001,    0.000000000000000E+000,    0.281456913299512E+001,    0.103345220993385E+001,    0.000000000000000E+000,   -0.316201332031020E+002,   -0.256203511387687E+002
    0.935000000000000E+000,    0.532676467306093E+003,    0.116338233653047E+000,    0.775588224353643E-001,    0.000000000000000E+000,    0.283777313168627E+001,    0.103108920041262E+001,    0.000000000000000E+000,   -0.316477183032329E+002,   -0.256297887804496E+002
    0.945000000000000E+000,    0.535293154600560E+003,    0.117646577300280E+000,    0.784310515335202E-001,    0.000000000000000E+000,    0.285790647168984E+001,    0.102861930470243E+001,    0.000000000000000E+000,   -0.316755116904205E+002,   -0.256391928702853E+002
    0.955000000000000E+000,    0.537927903856704E+003,    0.118963951928352E+000,    0.793093012855679E-001,    0.000000000000000E+000,    0.287755135356821E+001,    0.102603256670591E+001,    0.000000000000000E+000,   -0.317035009339737E+002,   -0.256485622922944E+002
    0.965000000000000E+000,    0.540580426144575E+003,    0.120290213072288E+000,    0.801934753815251E-001,    0.000000000000000E+000,    0.289680257901271E+001,    0.102331968019829E+001,    0.000000000000000E+000,   -0.317316735502154E+002,   -0.256578958517994E+002
    0.975000000000000E+000,    0.543250430585215E+003,    0.121625215292608E+000,    0.810834768617385E-001,    0.000000000000000E+000,    0.291878711211757E+001,    0.102065306672637E+001,    0.000000000000000E+000,   -0.317600359321686E+002,   -0.256671874964529E+002
    0.985000000000000E+000,    0.545937624382549E+003,    0.122968812191274E+000,    0.819792081275163E-001,    0.000000000000000E+000,    0.293827624620502E+001,    0.101834306416032E+001,    0.000000000000000E+000,   -0.317886090724527E+002,   -0.256764330314161E+002
    0.995000000000000E+000,    0.548641712855494E+003,    0.124320856427747E+000,    0.828805709518314E-001,    0.000000000000000E+000,    0.295914156832699E+001,    0.101623247183089E+001,    0.000000000000000E+000,   -0.318173616955094E+002,   -0.256856484135729E+002
    0.100500000000000E+001,    0.551362399470278E+003,    0.125681199735139E+000,    0.837874664900926E-001,    0.000000000000000E+000,    0.297756436376571E+001,    0.101426702815584E+001,    0.000000000000000E+000,   -0.318463105802914E+002,   -0.256948364871813E+002
    0.101500000000000E+001,    0.554099385872953E+003,    0.127049692936476E+000,    0.846997952909843E-001,    0.000000000000000E+000,    0.299679390264754E+001,    0.101248168267415E+001,    0.000000000000000E+000,   -0.318754281314311E+002,   -0.257039964678771E+002
    0.102500000000000E+001,    0.556852371922117E+003,    0.128426185961059E+000,    0.856174573073725E-001,    0.000000000000000E+000,    0.301639210663117E+001,    0.101082243738580E+001,    0.000000000000000E+000,   -0.319047394788127E+002,   -0.257131322589481E+002
    0.103500000000000E+001,    0.559621055721828E+003,    0.129810527860914E+000,    0.865403519072760E-001,    0.000000000000000E+000,    0.303402222612168E+001,    0.100929427007956E+001,    0.000000000000000E+000,   -0.319342229270554E+002,   -0.257222439486065E+002
    0.104500000000000E+001,    0.562405133654705E+003,    0.131202566827353E+000,    0.874683778849018E-001,    0.000000000000000E+000,    0.305191469361784E+001,    0.100789472090392E+001,    0.000000000000000E+000,   -0.319638733084723E+002,   -0.257313328470184E+002
    0.105500000000000E+001,    0.565204300415231E+003,    0.132602150207616E+000,    0.884014334717437E-001,    0.000000000000000E+000,    0.306923182900416E+001,    0.100701232188182E+001,    0.000000000000000E+000,   -0.319936810618022E+002,   -0.257403890871973E+002
    0.106500000000000E+001,    0.568018249043225E+003,    0.134009124521613E+000,    0.893394163477418E-001,    0.000000000000000E+000,    0.308737120408904E+001,    0.100684762862896E+001,    0.000000000000000E+000,   -0.320236563889815E+002,   -0.257494225046304E+002
    0.107500000000000E+001,    0.570846670957511E+003,    0.135423335478756E+000,    0.902822236525038E-001,    0.000000000000000E+000,    0.310504580392420E+001,    0.100744670654660E+001,    0.000000000000000E+000,   -0.320538015699572E+002,   -0.257584470399838E+002
    0.108500000000000E+001,    0.573689255989753E+003,    0.136844627994876E+000,    0.912297519965842E-001,    0.000000000000000E+000,    0.312305368023283E+001,    0.100888345058521E+001,    0.000000000000000E+000,   -0.320841056610413E+002,   -0.257674715073052E+002
